Id	pred	truth	pred_seq	truth_seq	kendall	type	origin	sft1600	ver4	dpo_traj_200_400_800_1000	audited73	caption
PnykTd	[3, 1, 4, 2]	[2, 1, 3, 4]	2413	2134	2	one-moved(d=2)	dpo-introduced(sft-was-right)	[2, 1, 3, 4]	[3, 1, 4, 2]	====	Y	The woman puts the razor handle back in her mouth and tries to shave again but it falls out of her mouth and she drops her head in frustration then leans back on the bed, laughs, and then crosses her arms.
gdVqg4	[1, 3, 2, 4]	[1, 2, 3, 4]	1324	1234	1	adjacent-swap@2-3	inherited-same	[1, 3, 2, 4]	[1, 3, 2, 4]	====	Y	A man jumps backward and flips four times in the air and dives in the swimming pool.
EIzKAQ	[1, 3, 2, 4]	[1, 2, 3, 4]	1324	1234	1	adjacent-swap@2-3	inherited-same	[1, 3, 2, 4]	[1, 3, 2, 4]	====	Y	The person begins by placing a box on the table, then wraps it with decorative paper, folds the edges, and finally presents the neatly wrapped gift.
BECRdM	[1, 3, 2, 4]	[3, 1, 2, 4]	1324	2314	3	scramble(d=3)	inherited-same	[1, 3, 2, 4]	[1, 3, 2, 4]	=oo=	Y	  The man simultaneously throws a rope around the calfs neck and dismounts the horse, while the horse is in motion.
yx3vew	[4, 3, 2, 1]	[1, 2, 3, 4]	4321	1234	6	full-reversal	inherited-same	[4, 3, 2, 1]	[4, 3, 2, 1]	oo==	Y	A girl is crossing the monkey bars.
zVUWuP	[1, 2, 4, 3]	[1, 3, 4, 2]	1243	1423	1	adjacent-swap@2-3	inherited-same	[1, 2, 4, 3]	[1, 3, 4, 2]	====	Y	 The two girls remove the baking sheet from the oven.
CbgVj3	[2, 1, 3, 4]	[1, 2, 3, 4]	2134	1234	1	adjacent-swap@1-2	dpo-introduced(sft-was-right)	[1, 2, 3, 4]	[1, 2, 3, 4]	====	N	The female dancer turns away, showcasing her back as the camera zooms out, then lowers her leg and moves right into a close embrace with her partner, as the camera pans out to reveal the stage.
4cxe0W	[3, 1, 4, 2]	[1, 2, 3, 4]	2413	1234	3	scramble(d=3)	inherited-same	[3, 1, 4, 2]	[3, 1, 4, 2]	====	Y	A young man puts lipstick on his lips.
8L7TfG	[2, 3, 4, 1]	[1, 2, 3, 4]	4123	1234	3	one-moved(d=3)	both-wrong-diff	[3, 2, 1, 4]	[2, 3, 4, 1]	====	Y	 The boy climbs across on the monkey bars.
b44PjE	[2, 4, 1, 3]	[2, 1, 4, 3]	3142	2143	5	scramble(d=5)	both-wrong-diff	[3, 4, 1, 2]	[3, 4, 1, 2]	====	Y	 She climbs her way back on the bars and jumps down mid way through.
1pCMCL	[1, 4, 3, 2]	[1, 3, 2, 4]	1432	1324	2	one-moved(d=2)	inherited-same	[1, 4, 3, 2]	[1, 4, 3, 2]	====	Y	 They use tubes to slide down a steep hill.
XFNFS2	[3, 2, 4, 1]	[4, 2, 3, 1]	4213	4231	1	adjacent-swap@3-4	inherited-same	[3, 2, 4, 1]	[3, 2, 4, 1]	X===	Y	 A child in green jacket gets into an intertube.
PbTFue	[3, 1, 2, 4]	[1, 2, 3, 4]	2314	1234	2	one-moved(d=2)	inherited-same	[3, 1, 2, 4]	[1, 3, 4, 2]	====	Y	 Another child from a taller foosball table walks over to the child sized table sticks his hands on the table.
Xd2THk	[3, 4, 2, 1]	[4, 3, 2, 1]	4312	4321	1	adjacent-swap@3-4	inherited-same	[3, 4, 2, 1]	[3, 4, 2, 1]	====	Y	The person transitions from standing on a dock to wakeboarding behind a boat with friends, then stands up on a makeshift board, raises the tow handle, and glides closer as the camera tilts slightly upward.
xhhhpg	[1, 4, 2, 3]	[1, 4, 3, 2]	1342	1432	1	adjacent-swap@2-3	dpo-introduced(sft-was-right)	[1, 4, 3, 2]	[1, 4, 3, 2]	X===	Y	 An ice cleaner is now riding on an ice rink, and then people on wheelchairs start wheeling onto the rink.
Ev7aBz	[1, 3, 4, 2]	[2, 3, 4, 1]	1423	4123	1	adjacent-swap@1-2	dpo-introduced(sft-was-right)	[2, 3, 4, 1]	[2, 3, 4, 1]	====	N	 She draws a face on the outside before using a knife to begin carving out the face of her pumpkin.
706QNR	[2, 1, 3, 4]	[1, 2, 3, 4]	2134	1234	1	adjacent-swap@1-2	dpo-introduced(sft-was-right)	[1, 2, 3, 4]	[2, 1, 3, 4]	====	N	 The next man simply runs and dives while flipping into the water.
FOraJM	[3, 4, 2, 1]	[2, 1, 4, 3]	4312	2143	5	scramble(d=5)	inherited-same	[3, 4, 2, 1]	[3, 4, 2, 1]	====	Y	 A woman in shorts is running down the street.
Qv2g53	[3, 2, 4, 1]	[2, 3, 4, 1]	4213	4123	1	adjacent-swap@2-3	both-wrong-diff	[4, 2, 3, 1]	[4, 2, 3, 1]	=o==	Y	A man covers a wall with cement using a hose.
eEcInl	[2, 1, 3, 4]	[1, 3, 2, 4]	2134	1324	2	one-moved(d=2)	dpo-introduced(sft-was-right)	[1, 3, 2, 4]	[1, 3, 2, 4]	====	Y	 With other people in canoes going by the person in their canoe passes under a bridge.
mjbEPe	[4, 2, 3, 1]	[4, 1, 3, 2]	4231	2431	1	adjacent-swap@1-2	inherited-same	[4, 2, 3, 1]	[4, 2, 3, 1]	====	Y	 A man puts a gold medal around the neck of the first javelin thrower and shakes his hand.
vh0wEB	[1, 2, 4, 3]	[1, 3, 4, 2]	1243	1423	1	adjacent-swap@2-3	dpo-introduced(sft-was-right)	[1, 3, 4, 2]	[1, 3, 4, 2]	==XX	N	The worker raises the tire above the wheel, then positions it onto the rim, adjusting it carefully as they prepare to secure it in place.
L5OyYw	[3, 4, 2, 1]	[2, 4, 3, 1]	4312	4132	1	adjacent-swap@2-3	inherited-same	[3, 4, 2, 1]	[3, 4, 2, 1]	====	Y	A man cuts into a piece of wood with an ax.
Kk83WO	[4, 3, 1, 2]	[4, 1, 3, 2]	3421	2431	3	scramble(d=3)	dpo-introduced(sft-was-right)	[4, 1, 3, 2]	[4, 3, 1, 2]	====	Y	A climber begins to ascend the wall, then a trainer explains techniques, followed by a demonstration of climbing moves, and finally, the climber executes the techniques shown.
fUOpAZ	[4, 1, 2, 3]	[3, 1, 2, 4]	2341	2314	1	adjacent-swap@3-4	inherited-same	[4, 1, 2, 3]	[4, 1, 2, 3]	====	Y	The red ribbons lower as the man's arm moves down and his body tilts right, then the red tape is pressed onto the bike handlebar and extended towards the handle's end.
aPKUZi	[2, 1, 3, 4]	[1, 2, 3, 4]	2134	1234	1	adjacent-swap@1-2	dpo-introduced(sft-was-right)	[1, 2, 3, 4]	[2, 1, 3, 4]	====	Y	The swimmer begins with an easy effort, then gradually increases pace and stroke rate, moving into a steady effort by the final frame. The progression shows enhanced speed and efficiency.
CzkRiH	[3, 1, 4, 2]	[4, 1, 3, 2]	2413	2431	1	adjacent-swap@3-4	inherited-same	[3, 1, 4, 2]	[3, 1, 4, 2]	XX==	Y	A little girl is crossing the monkey bars.
TTkzP5	[4, 2, 3, 1]	[3, 1, 4, 2]	4231	2413	2	scramble(d=2)	inherited-same	[4, 2, 3, 1]	[4, 2, 3, 1]	====	Y	The man on the left approaches the roses as the camera tilts left, then the person on the tractor advances towards the hedge trimmer, moving forward while trimming continues.
Z9CdGI	[2, 4, 3, 1]	[3, 1, 4, 2]	4132	2413	3	one-moved(d=3)	both-wrong-diff	[1, 3, 2, 4]	[2, 4, 3, 1]	====	Y	The climber begins to balance on the slackline, then raises his arms for stability, moves forward confidently, and finally appears to leap toward the next rock.
ynzxgr	[2, 1, 3, 4]	[3, 1, 2, 4]	2134	2314	1	adjacent-swap@2-3	dpo-introduced(sft-was-right)	[3, 1, 2, 4]	[3, 1, 2, 4]	=X==	N	The person begins to carve the pumpkin, then cuts out the eyes and mouth, and finally reveals the completed design with a smile.
vIO9v9	[3, 1, 4, 2]	[3, 2, 4, 1]	2413	4213	1	adjacent-swap@1-2	dpo-introduced(sft-was-right)	[3, 2, 4, 1]	[3, 2, 4, 1]	====	Y	 He runs up to the basketball hoop and makes a shot.
RzY1Pc	[2, 3, 4, 1]	[1, 3, 4, 2]	4123	1423	1	adjacent-swap@1-2	inherited-same	[2, 3, 4, 1]	[2, 3, 4, 1]	====	Y	 He demonstrates how to make a gyro sandwich.
br97AP	[1, 2, 4, 3]	[1, 2, 3, 4]	1243	1234	1	adjacent-swap@3-4	inherited-same	[1, 2, 4, 3]	[1, 2, 4, 3]	====	Y	The camera transitions from a coral reef to two divers interacting underwater, then shifts to a skier moving closer, holding a rope, and finally receding slightly leftward while maintaining balance on the water.
151Vxf	[2, 1, 4, 3]	[3, 1, 4, 2]	2143	2413	1	adjacent-swap@2-3	dpo-introduced(sft-was-right)	[3, 1, 4, 2]	[3, 1, 4, 2]	====	N	 kid kneels and grabs a dry leaf to put it in the trash bin.
ReMk67	[3, 2, 1, 4]	[4, 3, 1, 2]	3214	3421	2	one-moved(d=2)	inherited-same	[3, 2, 1, 4]	[4, 3, 1, 2]	====	Y	 He stops mopping and speaks to the camera.
iaxPKk	[4, 1, 2, 3]	[3, 1, 2, 4]	2341	2314	1	adjacent-swap@3-4	inherited-same	[4, 1, 2, 3]	[4, 1, 2, 3]	====	Y	 The guy walks through a door he opened.
g1MHrL	[1, 2, 3, 4]	[2, 3, 1, 4]	1234	3124	2	one-moved(d=2)	inherited-same	[1, 2, 3, 4]	[1, 2, 3, 4]	====	Y	 The woman continues carving the face of the pumpkin to turn it into a jack-o-lantern.
FM1CAt	[3, 2, 1, 4]	[3, 1, 2, 4]	3214	2314	1	adjacent-swap@1-2	inherited-same	[3, 2, 1, 4]	[3, 2, 1, 4]	====	Y	The performer transitions from spinning a flaming hula hoop to twirling fire staffs while moving left, then the musician leans forward and slightly left, tilting the saxophone downward, with a dynamic stage presence.
DXGh2V	[4, 2, 3, 1]	[4, 1, 3, 2]	4231	2431	1	adjacent-swap@1-2	inherited-same	[4, 2, 3, 1]	[4, 2, 3, 1]	====	Y	A sandwich slice is placed on a plate with fries, followed by a close-up, then a tomato slice is added to a sandwich with bacon and lettuce, topped with bread, and cut in half with a knife.
NkMj3t	[3, 2, 1, 4]	[2, 3, 1, 4]	3214	3124	1	adjacent-swap@2-3	dpo-introduced(sft-was-right)	[2, 3, 1, 4]	[2, 3, 1, 4]	=X==	N	Aurelle, cartographer of lost doors, begins by drifting down a fog-drowned alley with a patchwork map coat and a brass compass welded to her wrist, then kneels before a half-hidden threshold and extracts a key-shaped seed from her satchel to trace the seam, after which she plants the seed and watches bioluminescent tendrils unfurl, and finally steps through the opened door into a luminous, maplike realm.
